Name	Set	ImageFile	Rarity	Unique	Printable	CollectorsInfo	Type	Cost	Mission/DilemmaType	Span	Points	Quadrant	Affiliation	Icons	Staff	Keywords	Class	Species	Skills	Integrity/Range	Cunning/Weapons	Strength/Shields	Text
Virtual Reality Headset	Alg	ST2E-EN20001	V	N	Y	20V001	Equipment	5															"Order - If you do not command a Dissident personnel, choose one: stop two [Car] personnel present to place a non- [TN] [Dom] personnel from hand at your Mouth of the Wormhole; or stop two [Dom] personnel present to place a non - [TN] [Car] personnel from hand at your Mouth of the Wormhole. That personnel is stopped. You may do this only once each turn."
Firestorm	Alg	ST2E-EN20002	V	N	Y	20V002	Event	3								Decay: 2. 							Plays in your core. At the end of your turn, place a card from your hand on this event and for each headquarters mission each player commands, he or she chooses two non-Decay events he or she commands and the owners of those events shuffles them into his or her deck.
Helping Hand	Alg	ST2E-EN20003	V	N	Y	20V003	Event	3								Maneuver. 							Plays in your core. While your personnel is facing a dilemma or are involved in an engagement, you may discard a ship that is the same class as the ship he or she is aboard from hand to make it Weapons +4 and Shields +4 until the end of the turn.
Reman Assault Team	Alg	ST2E-EN20004	V	Y	Y	20V004	Event	4															Plays on your ship. When your Reman aboard this ship is killed by a dilemma, you may place a Reman in your hand aboard this ship. (That personnel joins the mission attempt.)
Under Siege	Alg	ST2E-EN20005	V	N	Y	20V005	Event	2								Assault. Maneuver. 							Plays in your opponent's core. (He or she commands this event.) When a player loses command of this event, return it to its owner's hand.
Conflict	Alg	ST2E-EN20006	V	N	Y	20V006	Interrupt	0															When personnel that the player on your right commands begin a mission attempt, discard 5 cards from hand or lose 5 points to draw three extra dilemmas and spend three extra in total cost on dilemmas.
Forcing Their Way	Alg	ST2E-EN20007	V	N	Y	20V007	Interrupt	0															To play this interrupt, you must not command U.S.S. Voyager. Order - Discard a Nucleogenic card from hand to place a [Voy] Treachery personnel from hand aboard your U.S.S. Equinox.
Genetronic Treatment	Alg	ST2E-EN20008	V	N	Y	20V008	Interrupt	0															When one of your personnel is about to be killed by a dilemma, if he or she is present with a Medical personnel, stop that personnel instead. Then you may discard the top card of your deck to shuffle this interrupt into your deck.
Interspatial Fissures	Alg	ST2E-EN20009	V	N	Y	20V009	Interrupt	0								Nucleogenic. 							While your personnel present with three [Voy] Treachery personnel is facing a dilemma, you may discard a card from hand to make that personnel gain a skill from a Treachery personnel present until the end of that dilemma.
Relentless Attacks	Alg	ST2E-EN20010	V	N	Y	20V010	Interrupt	0								Nucleogenic. 							While your personnel present with three [Voy] Treachery personnel is facing a dilemma, you may discard a card from hand to make that personnel attributes +3 until the end of that dilemma.
Team of Infiltrators	Alg	ST2E-EN20011	V	N	Y	20V011	Interrupt	0								Infiltration. 							When your Infiltrator is facing a dilemma, if he or she is present with two Infiltrators, meet Integrity and Strength requirements of that dilemma using Cunning instead.
The Central Command	Alg	ST2E-EN20012	V	N	Y	20V012	Interrupt	0															When any number of your [Car] Officer and/or [Car] Treachery personnel are about to be stopped by a dilemma, discard the top three cards of your deck to prevent that.
Locate Fuel Source	Alg	ST2E-EN20013	V	Y	Y	20V013	Mission	0	P	2	40	D	[Fed] [NA]						Anthropology, Exobiology, Science, 2 Treachery, and Cunning>38				When your personnel complete this mission, each player may shuffle each Nucleogenic card in his or her discard pile into his or her deck.
Li Nalas Vastly Outnumbered	Alg	ST2E-EN20014	V	Y	Y	20V014	Personnel	3					[Baj]	[Cmd] [DS9]				Bajoran	Geology 2 Honor Leadership Security	8	5	5	While an opponent commands an Assault event, this personnel and each [DS9] personnel present is Strength +1.
Odo Vastly Outnumbered	Alg	ST2E-EN20015	V	Y	Y	20V015	Personnel	4					[Baj]	[Cmd] [DS9]		Shape-shifter. 		Changeling	Honor Law Programming Security	7	7	8	While an opponent commands an Assault event, this personnel cannot be killed or stopped by dual dilemmas.
Angelo Tassoni	Alg	ST2E-EN20016	V	N	Y	20V016	Personnel	2					[Fed]	[Stf] [Voy]				Human	Biology Navigation Security Treachery	4	6	5	"When you play this personnel you may choose one: take a Nucleogenic card from your discard pile into hand; or place a Nucleogenic card you own that has been removed from the game on top of your deck."
Benjamin Sisko Vastly Outnumbered	Alg	ST2E-EN20017	V	Y	Y	20V017	Personnel	2					[Fed]	[Cmd] [DS9]				Human	Diplomacy Leadership Navigation	6	6	6	When this personnel begins a mission attempt, if an opponent commands a Maneuver event, you may name a dilemma. This personnel and each [DS9] personnel present gains "This personnel and each [DS9] personnel present cannot be killed or stopped by that dilemma" until the end of turn.
Equinox Doctor Unethical Medical Hologram	Alg	ST2E-EN20018	V	Y	Y	20V018	Personnel	3					[Fed]	[Voy]		Infiltrator. 		Hologram	Biology 2 Exobiology Medical 2 Treachery	2	7	5	When you are about to lose command of your [Voy] Treachery personnel present, you may lose 5 points to prevent that.
Hikaru Sulu Experienced Helmsman	Alg	ST2E-EN20019	V	Y	Y	20V019	Personnel	4					[Fed]	[Stf] [TOS] [Pa]				Human	Astrometrics Biology 2 Navigation Officer	6	6	6	You may play this personnel at cost -2 to ignore his next ability. When you play this personnel, you may place your [TOS] ship at your mission.
Ilia Finest Navigator in Starfleet	Alg	ST2E-EN20020	V	Y	Y	20V020	Personnel	4					[Fed]	[Stf] [TOS] [Pa]				Deltan	Honor Navigation Officer Telepathy	7	5	5	You may play this personnel at cost -2 to ignore her next ability. When you play this personnel, if you command a [TOS] personnel who has a cost of 4 or more, for each headquarters mission your opponent commands, you may shuffle two cards from your discard pile into your deck.
James T. Kirk Experienced Commander	Alg	ST2E-EN20021	V	Y	Y	20V021	Personnel	4					[Fed]	[Cmd] [TOS] [Pa]		Admiral.  Commander: U.S.S. Enterprise. 		Human	Honor Leadership Officer Programming	7	6	6	You may play this personnel at cost -2 to ignore his next ability. When you play this personnel, he gains "This personnel and each [TOS] personnel present who has a cost of 4 or more may be excluded from random selections" until the end of this turn.
Julian Bashir Vastly Outnumbered	Alg	ST2E-EN20022	V	Y	Y	20V022	Personnel	3					[Fed]	[Stf] [DS9]		Genetically Enhanced. 		Human	Biology Exobiology Medical Science	5	8	6	When a dilemma that has a cost of 1 or more and does not require a skill is about to kill your [DS9] personnel present, if an opponent commands an Assault event, you may discard a card from hand to prevent that.
Leonard H. McCoy Experienced Advisor	Alg	ST2E-EN20023	V	Y	Y	20V023	Personnel	4					[Fed]	[Stf] [TOS] [Pa]				Human	Biology Exobiology Honor Medical	7	6	5	You may play this personnel at cost -2 to ignore his next ability. When you play this personnel, the next [TOS] personnel you play this turn is cost -3.
Marla Gilmore Conflicted Engineer	Alg	ST2E-EN20024	V	Y	Y	20V024	Personnel	3					[Fed]	[Stf] [Voy]				Human	Astrometrics Engineer Physics Programming Transporters Treachery	4	6	5	While this personnel is facing a dilemma that requires Treachery, you may lose 5 points to exclude her and each [Voy] Treachery personnel present from being randomly selected by that dilemma.
Maxwell Burke Arrogant First Officer	Alg	ST2E-EN20025	V	Y	Y	20V025	Personnel	3					[Fed]	[Cmd] [Voy]		Commander: U.S.S. Equinox. 		Human	Anthropology Leadership Officer 2 Programming Security Treachery	3	6	6	"Order - Discard two cards from hand to choose one: download a Nucleogenic card; or take a Nucleogenic card from your discard pile and place it on top of your deck."
Miles O'Brien Vastly Outnumbered	Alg	ST2E-EN20026	V	Y	Y	20V026	Personnel	2					[Fed]	[Stf] [DS9]				Human	Astrometrics Engineer Honor Transporters	7	6	6	While an opponent commands a Maneuver event, the ship this personnel is aboard is Shields +4.
