Name	Set	ImageFile	Rarity	Unique	Printable	CollectorsInfo	Type	Cost	Mission/DilemmaType	Span	Points	Quadrant	Affiliation	Icons	Staff	Keywords	Class	Species	Skills	Integrity/Range	Cunning/Weapons	Strength/Shields	Text
Bold Plan	FTB	STVE-EN16004	V	N	Y	16V004	Dilemma	0	D							Consume: 3. 							Your opponent may return up to two dilemmas from beneath any of your non-headquarters missions to their owner's dilemma piles.
Strategic Superiority	FTB	STVE-EN16013	V	N	Y	16V013	Dilemma	3	S														Unless you have 3 Diplomacy or Weapons>8, randomly select a personnel to be stopped, and choose a number of personnel who have a total cost equal to or greater than the number of General personnel your opponent commands to be killed.
Azetbur Visionary Chancellor	TUC	STVE-EN15037	V	Y	Y	15V037	Personnel	4					Klingon	[Cmd][Pa]		Chancellor. 		Klingon	Anthropology Diplomacy Exobiology Honor Law 2 Leadership	7	6	6	When this personnel uses a skill to complete a mission, you may destroy three of your Assault and/or Maneuver events to score 10 points.
Lance Cartwright Co-Conspirator	TUC	STVE-EN15033	V	Y	Y	15V033	Personnel	1					Federation	[Cmd][TOS][Pa][E]		Admiral. 		Human	Astrometrics Intelligence Leadership Officer Security Treachery	3	6	5	To play this personnel, you must destroy an event you command.
Instigate Dissension	TUC	STVE-EN15004	V	N	Y	15V004	Dilemma	4	D														Randomly select two personnel to be stopped. Unless you command one or less headquarters missions, your opponent places this dilemma on one of your headquarters missions. You cannot play personnel at this mission. At the end of each of your turns, you may reveal three different non-[NA] personnel from hand who could be played at this headquarters to remove this dilemma from the game.
Breaking the Ice	TUC	STVE-EN15001	V	N	Y	15V001	Dilemma	3	S							Persistent. 							Unless you have 3 Geology or two non-Hand Weapon equipment, all your personnel are stopped.
We'll Never Know	TUC	STVE-EN15009	V	N	Y	15V009	Dilemma	3	P							Persistent. 							Unless you have 3 Physics or two non-Hand Weapon equipment, all your personnel are stopped.
Once More Unto the Breach	TUC	STVE-EN15005a	V	N	Y	15V005	Dilemma	3	S														If your opponent commands a staffed Cloaking Device ship at this mission, he or she may begin an engagement between that ship and your ship. That Cloaking Device ship is Weapons +2 until the end of this dilemma. If your opponent wins, randomly select a personnel to be killed and all of your personnel are stopped.
Debate Over Dinner	TUC	STVE-EN15011	V	N	Y	15V011	Event	1															Plays on a mission with no dilemmas beneath it (limit one per mission). When a Consume dilemma is revealed at this mission, place one less dilemma under this mission than that Consume dilemma indicates. When a player completes this mission, he or she may score 5 points.
Gaila Arms Dealer	TUC	STVE-EN15036	V	Y	Y	15V036	Personnel	2					Ferengi	[Cmd]				Ferengi	Acqusition Geology Physics Programming Treachery	3	5	5	At the start of each of your turns, you may take an equipment from beneath your Ferenginar and place it in your discard pile to spend 4 additional counters this turn.
D'Ral Mutinous Commander	TUC	STVE-EN15041	V	Y	Y	15V041	Personnel	2					Romulan	[Cmd]		Dissident. 		Romulan	Anthropology Engineer Officer Treachery	3	6	6	When your [Rom] personnel present is randomly selected by a dilemma, you may replace that personnel with a [Rom] personnel from hand who has the same cost as that personnel. Place the personnel you replaced in his or her owner's discard pile.
Surprise Amity	TUC	STVE-EN15020	V	N	Y	15V020	Interrupt	0															When your opponent’s mission attempt ends, if that opponent has more points than you, stop each of that opponent’s personnel. Place this interrupt on the bottom of your deck.
Breach Barrier	TUC	STVE-EN15024	V	Y	Y	15V024	Mission	0	S	4	40	A	Any affiliation may attempt this mission.			Region: Great Barrier. 			Engineer, Navigation, 2 Science, and Cunning>40				When you are about to complete this mission, if an opponent has more points than you, choose one - score 5 points; unstop all your personnel; or restore Range of each ship you command.
U.S.S. Enterprise-D Salvaged Ship	TUC	STVE-EN15044	V	Y	Y	15V044	Ship	6					Ferengi		[Cmd][Stf][Stf][Stf]		Galaxy Class			0	8	9	This ship is Range +2 for each [Fer] Programming personnel aboard. When your personnel complete a planet mission requiring Acquisition, if this ship is at that mission, you may score 10 points.
Kira Nerys Rescuer	TUC	STVE-EN15025	V	Y	Y	15V025	Personnel	3					Bajoran	[Cmd][DS9]				Bajoran	Honor Leadership Navigation Security	6	6	6	When you play this personnel, you may choose one: take up to two of your [Baj] personnel from your discard pile into hand; or place the bottom two cards of your deck in your discard pile.
Strength of Spirit	TUC	STVE-EN15014	V	N	Y	15V014	Event	1															Plays in your core. At the start of each of your turns, if you command three different species, you may place this event on the bottom of your deck to download a [SF] Human who has a cost of 3 or less.
Vaatrik Pallra Seductive Manipulator	TUC	STVE-EN15026	V	Y	Y	15V026	Personnel	2					Bajoran					Bajoran	Acquisition Anthropology Treachery	4	6	4	When this personnel begins a mission attempt, you may remove a non-[Baj] personnel in your discard pile from the game to download a [Baj] personnel.
Operation Retrieve	TUC	STVE-EN15013	V	Y	Y	15V013	Event	0															Plays in your core. When you are about to place an interrupt in your discard pile, if your opponent's personnel is facing a dilemma you own, you may place that interrupt on the bottom of your deck instead.
What You Leave Behind	TUC	STVE-EN15018	V	N	Y	15V018	Event	0								Temporal. 							Discard a card from hand to take the bottom two cards of your deck and place them on the top of their owner's decks in random order. Remove this event from the game.
Aid Legendary Civilization	TUC	STVE-EN15023	V	Y	Y	15V023	Mission	0	P	2	35	A	Any affiliation may attempt this mission.						Biology, Diplomacy, Exobiology, Medical, and Cunning>34				When you complete this mission, place up to 12 total cost of your personnel beneath their owners' decks. Your opponents must place their personnel with at least the same total cost beneath their owners' decks.
Laurence T. Stone Portmaster	TUC	STVE-EN15034	V	Y	Y	15V034	Personnel	2					Federation	[Cmd][TOS][Pa]				Human	Diplomacy Engineer Law Leadership Officer	6	5	6	You may play this personnel at cost +3 to place up to three of your [TOS] personnel who have a cost of 1 or less on the bottom of their owner's decks.
The Conscience of the King	TUC	STVE-EN15008	V	N	Y	15V008	Dilemma	3	D														Place this dilemma on this mission. Each planet dilemma and space dilemma revealed at this mission is cost -1.
Ferengi Locator Bomb	TUC	STVE-EN15003	V	N	Y	15V003	Dilemma	3	P														Unless you have Navigation, Physics, and Programming or Acquisition, Treachery, and Cunning>32, randomly select a personnel to be placed on the bottom of his or her owner's deck and all your personnel are stopped.
What Lies Beneath	TUC	STVE-EN15010	V	N	Y	15V010	Dilemma	3	S														Unless you have Archaeology, Geology, and Honor or Anthropology, Treachery, and Cunning>32, randomly select a personnel to be placed on the bottom of his or her owner's deck and all your personnel are stopped.
Harvest Drone	TUC	STVE-EN15027	V	N	Y	15V027	Personnel	5					Borg	[Stf][Pa]		Drone. 		Borg	Engineer Exobiology Security	5	5	5	When you take command of a personnel that you do not own, you may randomly select an opponent's personnel present with this personnel, take command of him or her, and place this personnel on the bottom of your deck.
Synergy Drone	TUC	STVE-EN15028	V	N	Y	15V028	Personnel	2					Borg	[Stf][Pa]		Drone. 		Borg		4	4	4	When this personnel gains a skill he does not already have, he is attributes +1 until the end of the turn (limit +4).
Three of Twelve Specialty Drone	TUC	STVE-EN15029	V	Y	Y	15V029	Personnel	2					Borg	[Stf][Pa]		Drone. 		Borg	Medical Science Security	5	5	5	While this personnel is attempting a mission, each of your unique personnel present is attributes +1.
Weyoun Scheming Negotiator	TUC	STVE-EN15030	V	Y	Y	15V030	Personnel	2					Dominion	[Cmd][TN]		Commander: Tenak'talar. 		Vorta	Anthropology Diplomacy Science Treachery	2	6	4	When you play a [Dom] Treachery personnel, you may take a Jem'Hadar personnel from your discard pile and place it on the bottom of your deck.
The Perils of Peacemaking	TUC	STVE-EN15021	V	N	Y	15V021	Interrupt	0															When a dilemma you own is revealed, the opponent on your left takes a copy of that dilemma from his or her dilemma pile and removes it from the game. That opponent shuffles and replaces his or her dilemma pile face down. Place this interrupt on the bottom of your deck.
The Cost of Freedom	TUC	STVE-EN15015	V	N	Y	15V015	Event	2															Plays in your core. At the start of your Execute Orders segment, discard the top three cards of your deck. For each event you discarded this way, each of your [Car] personnel is attributes +1 until the end of the turn. If you do not discard an event this way, all of your [Car] personnel are stopped.
Kes Experienced Ocampa	TUC	STVE-EN15040	V	Y	Y	15V040	Personnel	4					Non-Aligned	[Stf][Voy]				Ocampa	Anthropology Exobiology Honor Medical Science Telepathy	7	6	4	When you play this personnel, you may discard an equipment or event from hand to make this personnel cost -2. When this personnel uses a skill to complete a [DQ] mission, each player may download a personnel with that skill.
Inexorable Torture	TUC	STVE-EN15012	V	Y	Y	15V012	Event	0								Punishment. 							To play this event, you must command three [Car] personnel. Plays in your core. When you are about to place a Capture card or a Punishment card in your discard pile, you may discard the top two cards of your deck to place that card on the bottom of your deck instead.
Shall We Not Revenge?	TUC	STVE-EN15019	V	N	Y	15V019	Interrupt	0															When an opponent's personnel uses his or her Anthropology, Astrometrics, Diplomacy, or Security, if he or she is facing a dilemma you own, place the top card of your dilemma pile face down beneath your dilemma stack to kill that personnel. Place this interrupt on the bottom of your deck.
Predictable Response	TUC	STVE-EN15006	V	N	Y	15V006	Dilemma	0	P							Consume: 1. 							Unless you have Anthropology and Diplomacy or 2 Security, all your [Cmd] personnel are stopped and this dilemma returns to its owner's dilemma pile.
Curt Reprimand	TUC	STVE-EN15002	V	N	Y	15V002	Dilemma	3	D														Randomly select three personnel. If the cost of any of those personnel is 1 or less, all three are stopped. Otherwise, randomly select one of those personnel to be stopped.
