Name	Set	ImageFile	Rarity	CollectorsInfo	Type	Cost	Mission/DilemmaType	Span	Points	Quadrant	Affiliation	Icons	Staff	Keywords	Species/Class	Skills	Integrity/Range	Cunning/Weapons	Strength/Shields	Text
A Living Death	SE	ST2E-EN01001	U	1U001	Dilemma	2	P													Place this dilemma on this mission.  Each personnel on this planet who does not have Treachery is attributes -1.  At the end of this turn, this dilemma is overcome.
Aggressive Behavior	SE	ST2E-EN01002	R	1R002	Dilemma	4	S													Unless you have 2 Anthropology or 2 Leadership and Weapons>8, randomly select a personnel to be killed, all your other personnel are stopped, and this dilemma is placed on your ship. Damage - This ship is attributes -2.
Alien Abduction	SE	ST2E-EN01003	C	1C003	Dilemma	1	S													Unless you have 2 Engineer and Physics or Medical and Transporters, randomly select three personnel to be stopped.
Antedean Assassins	SE	ST2E-EN01004	C	1C004	Dilemma	3	D													Unless you have a personnel who has 2 Anthropology or a personnel who has 2 Telepathy, your opponent chooses an Anthropology or Telepathy personnel to be stopped.  If your opponent cannot, all your personnel are stopped and this dilemma returns to it's dilemma pile.
Armus Roulette	SE	ST2E-EN01005	R	1R005	Dilemma	4	P													Randomly select four personnel.  Unless they have Cunning>22 or one of them has Cunning>7, your opponent chooses one of them to be killed, then the other three are stopped.
Assassin's Blade	SE	ST2E-EN01006	C	1C006	Dilemma	3	D													Unless you have 2 Security or Cunning>26, your opponent chooses a personnel (except an Android or a Shape-shifter) to be killed, then all your other personnel are stopped and this dilemma returns to its owner's dilemma pile.
Assassination Attempt	SE	ST2E-EN01007	R	1R007	Dilemma	4	P													Randomly select two personnel.  Each of those personnel who does not have Treachery is killed.
Authenticate Artifacts	SE	ST2E-EN01008	C	1C008	Dilemma	2	P													Unless you have a personnel who has 2 Anthropology or a personnel who has 2 Archaeology, your opponent chooses an Anthropology or Archaeology personnel to be stopped.  If your opponent cannot, all your personnel are stopped and this dilemma returns to its owner's dilemma pile.
Automated Weapons	SE	ST2E-EN01009	C	1C009	Dilemma	3	P													Unless you have 2 Security or a Hand Weapon, randomly select a personnel to be killed, then all your other personnel are stopped and this dilemma returns to its owner's dilemma pile.
Berserk Changeling	SE	ST2E-EN01010	R	1R010	Dilemma	5	D													Unless you have 2 Exobiology and 2 Science or 3 Security or two Hand Weapons, randomly select a personnel (except a Changeling) to be killed, then all your other personnel are stopped.
Blended	SE	ST2E-EN01011	U	1U011	Dilemma	2	P													Unless you have Diplomacy or Telepathy, all your personnel are stopped.  If you have two more personnel who have Diplomacy or Telepathy, randomly select all but one of those personnel to be stopped.
Bynars' Password	SE	ST2E-EN01012	C	1C012	Dilemma	3	D													Unless you have a personnel who has 2 Engineer or a personnel who has 2 Programming, your opponent chooses an Engineer or Programming personnel to be stopped.  If your opponent cannot, all your personnel are stopped and this dilemma returns to its owner's dilemma pile.
Captain's Holiday	SE	ST2E-EN01013	C	1C013	Dilemma	3	P													Unless you have 2 Archaeology or 2 Geology, all your personnel are stopped and this dilemma returns to its owner's dilemma pile.
Center of Attention	SE	ST2E-EN01014	C	1C014	Dilemma	3	D													Unless you have 3 Security or a Hand Weapon and Cunning>28 or Quark, your opponent chooses a Treachery personnel to be killed, then all your other personnel are stopped.
